iata,first_year,last_year,annual_mvts,peak_hour_mvts,annual_growth,peak_growth,absorption,peak_hour_share,state,note
CCJ,2015,2019,25840,9.0,0.491,0.2908,0.592,0.000325,headroom,peak growing broadly in step with annual traffic
CCM,2015,2016,1095,2.0,-0.1692,0.0013,-0.008,0.001846,not_assessed,"below the screen floor, peak too small to read a trend"
CCP,2015,2019,11223,5.0,0.5874,0.2049,0.349,0.000474,not_assessed,"below the screen floor, peak too small to read a trend"
CCS,2015,2019,30248,8.2,-0.585,-0.5524,0.944,0.00036,headroom,"traffic broadly flat, nothing to read into the peak"
CCU,2015,2019,165377,31.1,0.7041,0.3684,0.523,0.000194,headroom,peak growing broadly in step with annual traffic
CDC,2015,2019,1525,2.1,0.2181,0.0093,0.043,0.001355,not_assessed,"below the screen floor, peak too small to read a trend"
CDE,2018,2019,3191,4.0,-0.0793,0.4,-5.041,0.001032,not_assessed,"below the screen floor, peak too small to read a trend"
CDG,2015,2019,464556,96.5,0.0716,0.0151,0.21,0.000262,at_ceiling,"large airport, peak hour static across the window"
CDP,2018,2019,2220,2.0,0.2347,0.005,0.021,0.00117,not_assessed,"below the screen floor, peak too small to read a trend"
CDR,2016,2019,1550,2.1,-0.3815,0.0322,-0.084,0.001332,not_assessed,"below the screen floor, peak too small to read a trend"
CDT,2017,2019,960,3.0,0.1034,0.0196,0.19,0.0038,not_assessed,"below the screen floor, peak too small to read a trend"
CDV,2015,2019,1444,2.6,-0.0007,0.2255,nan,0.001716,not_assessed,"below the screen floor, peak too small to read a trend"
CEB,2015,2019,105422,23.0,0.5669,0.148,0.261,0.000239,tightening,"growth going into the shoulder hours, not the peak"
CEC,2016,2019,874,1.2,-0.3997,-0.3937,0.985,0.001387,not_assessed,"below the screen floor, peak too small to read a trend"
CED,2015,2019,1217,2.0,0.0033,0.01,nan,0.00166,not_assessed,"below the screen floor, peak too small to read a trend"
CEE,2015,2019,5009,3.0,0.0347,-0.2312,-6.662,0.000719,not_assessed,"below the screen floor, peak too small to read a trend"
CEH,2017,2017,952,1.4,nan,nan,nan,0.00147,too_short,"one observed year, no trend to read"
CEI,2015,2019,19747,8.0,0.3831,0.3231,0.843,0.000413,not_assessed,"below the screen floor, peak too small to read a trend"
CEK,2015,2019,13352,6.6,0.3564,0.6537,1.835,0.000538,not_assessed,"below the screen floor, peak too small to read a trend"
CEN,2015,2019,4154,2.5,0.5144,-0.0896,-0.174,0.001237,not_assessed,"below the screen floor, peak too small to read a trend"
CEZ,2015,2019,3150,2.2,1.7015,0.0775,0.046,0.000687,not_assessed,"below the screen floor, peak too small to read a trend"
CFE,2015,2019,5939,2.0,-0.1312,-0.6048,4.609,0.000721,not_assessed,"below the screen floor, peak too small to read a trend"
CFG,2017,2017,882,2.1,nan,nan,nan,0.001874,too_short,"one observed year, no trend to read"
CFN,2015,2019,1893,3.0,0.0647,0.4851,7.499,0.001531,not_assessed,"below the screen floor, peak too small to read a trend"
CFR,2015,2019,4190,3.9,0.8186,-0.0124,-0.015,0.001575,not_assessed,"below the screen floor, peak too small to read a trend"
CFS,2015,2019,5453,3.8,-0.0215,-0.0444,2.064,0.000925,not_assessed,"below the screen floor, peak too small to read a trend"
CFU,2015,2019,16807,9.0,0.4177,-0.0184,-0.044,0.000648,not_assessed,"below the screen floor, peak too small to read a trend"
CGB,2015,2019,26710,10.8,-0.2051,-0.1634,0.797,0.00038,headroom,"traffic broadly flat, nothing to read into the peak"
CGD,2015,2019,10460,5.5,1.9136,0.8244,0.431,0.000528,not_assessed,"below the screen floor, peak too small to read a trend"
CGH,2015,2019,172264,37.2,-0.0082,0.004,nan,0.000213,at_ceiling,"large airport, peak hour static across the window"
CGI,2015,2019,1583,2.0,-0.3678,0.0092,-0.025,0.001275,not_assessed,"below the screen floor, peak too small to read a trend"
CGK,2015,2019,432009,81.9,0.0255,0.0879,3.442,0.000198,headroom,peak growing broadly in step with annual traffic
CGM,2016,2019,1840,6.0,1.5344,2.0,1.303,0.00326,not_assessed,"below the screen floor, peak too small to read a trend"
CGN,2015,2019,90953,23.3,0.1015,-0.0581,-0.573,0.000269,tightening,"growth going into the shoulder hours, not the peak"
CGO,2015,2019,209244,43.8,0.4241,0.3277,0.773,0.000215,headroom,peak growing broadly in step with annual traffic
CGP,2015,2019,22105,9.8,0.1433,0.2219,1.548,0.000502,headroom,peak growing broadly in step with annual traffic
CGQ,2015,2019,97970,23.3,0.5128,0.1987,0.388,0.000242,headroom,peak growing broadly in step with annual traffic
CGR,2015,2019,12364,5.8,-0.2034,-0.2723,1.339,0.000519,not_assessed,"below the screen floor, peak too small to read a trend"
CGY,2015,2019,18126,8.2,0.2527,0.1844,0.73,0.000398,not_assessed,"below the screen floor, peak too small to read a trend"
CHA,2015,2019,20513,4.4,0.3813,-0.1268,-0.333,0.000351,tightening,"growth going into the shoulder hours, not the peak"
CHC,2015,2019,72849,17.0,0.0643,-0.3255,-5.066,0.000326,tightening,"growth going into the shoulder hours, not the peak"
CHG,2015,2019,2475,3.0,0.4732,0.5,1.057,0.001136,not_assessed,"below the screen floor, peak too small to read a trend"
CHO,2015,2019,18178,7.8,0.3067,0.5308,1.73,0.000365,not_assessed,"below the screen floor, peak too small to read a trend"
CHQ,2015,2019,13001,8.5,0.1581,0.0031,0.02,0.000741,not_assessed,"below the screen floor, peak too small to read a trend"
CHS,2015,2019,55214,14.2,0.2008,0.0581,0.29,0.000293,tightening,"growth going into the shoulder hours, not the peak"
CHT,2019,2019,622,1.0,nan,nan,nan,0.001816,too_short,"one observed year, no trend to read"
CHX,2015,2019,682,2.0,-0.6069,-0.6,0.989,0.002933,not_assessed,"below the screen floor, peak too small to read a trend"
CIA,2015,2019,33657,11.0,0.0075,-0.0788,nan,0.000325,headroom,"traffic broadly flat, nothing to read into the peak"
CID,2015,2019,21479,8.4,0.0282,0.2295,8.124,0.000466,headroom,peak growing broadly in step with annual traffic
CIF,2015,2019,17866,7.0,0.5068,0.2659,0.525,0.000377,not_assessed,"below the screen floor, peak too small to read a trend"
CIH,2015,2019,9076,5.0,0.2328,0.3366,1.446,0.00059,not_assessed,"below the screen floor, peak too small to read a trend"
CIJ,2015,2019,1708,3.0,0.2288,0.2,0.874,0.002027,not_assessed,"below the screen floor, peak too small to read a trend"
CIK,2019,2019,730,2.0,nan,nan,nan,0.00274,too_short,"one observed year, no trend to read"
CIT,2015,2019,8604,3.2,0.6815,0.0065,0.01,0.000413,not_assessed,"below the screen floor, peak too small to read a trend"
CIU,2015,2019,1354,2.2,-0.0174,-0.0114,nan,0.001602,not_assessed,"below the screen floor, peak too small to read a trend"
CIX,2015,2019,5879,4.7,0.6528,0.8528,1.306,0.000838,not_assessed,"below the screen floor, peak too small to read a trend"
CIY,2015,2018,2484,3.7,0.1154,0.2437,2.111,0.001526,not_assessed,"below the screen floor, peak too small to read a trend"
CJA,2015,2019,4375,4.0,0.321,0.3454,1.076,0.000971,not_assessed,"below the screen floor, peak too small to read a trend"
CJB,2015,2019,22042,7.9,0.1935,0.1528,0.789,0.000363,headroom,peak growing broadly in step with annual traffic
CJC,2015,2019,15446,7.8,0.6059,0.5224,0.862,0.000488,not_assessed,"below the screen floor, peak too small to read a trend"
CJJ,2015,2019,16399,6.0,0.5099,-0.0095,-0.019,0.000379,not_assessed,"below the screen floor, peak too small to read a trend"
CJM,2015,2019,2170,2.9,0.1736,0.4375,2.52,0.001337,not_assessed,"below the screen floor, peak too small to read a trend"
CJS,2015,2019,15046,7.0,0.6152,0.3663,0.595,0.000566,not_assessed,"below the screen floor, peak too small to read a trend"
CJU,2015,2019,148816,38.8,0.2262,0.2865,1.267,0.000261,headroom,peak growing broadly in step with annual traffic
CKB,2015,2019,1710,1.3,-0.1896,-0.2417,1.275,0.001704,not_assessed,"below the screen floor, peak too small to read a trend"
CKG,2015,2019,312096,50.6,0.3722,0.196,0.527,0.000173,headroom,peak growing broadly in step with annual traffic
CKS,2015,2015,2777,3.0,nan,nan,nan,0.001149,too_short,"one observed year, no trend to read"
CKY,2015,2018,4854,2.0,0.4464,0.1521,0.341,0.000552,not_assessed,"below the screen floor, peak too small to read a trend"
CKZ,2015,2019,934,1.4,-0.3168,0.2937,-0.927,0.001597,not_assessed,"below the screen floor, peak too small to read a trend"
CLE,2015,2019,107516,27.0,0.0731,-0.072,-0.985,0.000292,tightening,"growth going into the shoulder hours, not the peak"
CLJ,2015,2019,20624,7.3,0.6119,0.1556,0.254,0.000384,tightening,"growth going into the shoulder hours, not the peak"
CLL,2015,2019,4535,3.3,-0.1039,0.161,-1.549,0.000654,not_assessed,"below the screen floor, peak too small to read a trend"
CLO,2015,2019,46723,13.0,-0.0187,0.006,nan,0.00031,headroom,"traffic broadly flat, nothing to read into the peak"
CLQ,2015,2019,2804,2.0,-0.124,-0.0455,0.366,0.001266,not_assessed,"below the screen floor, peak too small to read a trend"
CLT,2015,2019,541127,128.7,0.0616,0.2078,3.375,0.000239,headroom,peak growing broadly in step with annual traffic
CLY,2015,2019,3924,5.7,0.0095,0.1944,nan,0.001774,not_assessed,"below the screen floor, peak too small to read a trend"
CMB,2015,2019,62836,12.9,0.1385,-0.1507,-1.088,0.000255,tightening,"growth going into the shoulder hours, not the peak"
CME,2015,2019,4074,3.9,-0.2805,-0.0741,0.264,0.001169,not_assessed,"below the screen floor, peak too small to read a trend"
CMH,2015,2019,103362,27.2,0.0892,0.0295,0.331,0.000276,tightening,"growth going into the shoulder hours, not the peak"
CMI,2015,2019,5806,3.1,0.2505,0.3284,1.311,0.000558,not_assessed,"below the screen floor, peak too small to read a trend"
CMK,2015,2018,2566,3.0,2.0916,0.0642,0.031,0.001353,not_assessed,"below the screen floor, peak too small to read a trend"
CMN,2015,2018,81963,24.5,0.0787,0.3416,4.342,0.000287,headroom,peak growing broadly in step with annual traffic
CMW,2016,2019,2025,2.0,0.2082,-0.1369,-0.657,0.001168,not_assessed,"below the screen floor, peak too small to read a trend"
CMX,2015,2019,1456,1.8,0.0007,0.1147,nan,0.001241,not_assessed,"below the screen floor, peak too small to read a trend"
CNF,2015,2019,96403,22.8,-0.1077,-0.0408,0.378,0.00025,headroom,"traffic broadly flat, nothing to read into the peak"
CNM,2015,2019,2017,2.1,0.3796,-0.3119,-0.822,0.001023,not_assessed,"below the screen floor, peak too small to read a trend"
CNN,2019,2019,13896,5.0,nan,nan,nan,0.000471,too_short,"one observed year, no trend to read"
CNQ,2018,2019,1603,2.9,-0.0669,0.4615,-6.895,0.001891,not_assessed,"below the screen floor, peak too small to read a trend"
CNS,2015,2019,44892,14.2,0.0059,-0.2239,nan,0.000376,headroom,"traffic broadly flat, nothing to read into the peak"
CNX,2015,2019,79194,19.7,0.2658,0.2536,0.954,0.00025,headroom,peak growing broadly in step with annual traffic
CNY,2017,2019,1246,1.8,-0.5494,-0.3968,0.722,0.001452,not_assessed,"below the screen floor, peak too small to read a trend"
COD,2015,2019,2220,2.5,0.3105,-0.0234,-0.075,0.001112,not_assessed,"below the screen floor, peak too small to read a trend"
COK,2015,2019,70557,19.4,0.2972,0.4968,1.671,0.00029,headroom,peak growing broadly in step with annual traffic
COO,2015,2018,8283,5.2,-0.1512,-0.0157,0.104,0.000644,not_assessed,"below the screen floor, peak too small to read a trend"
COR,2015,2019,29669,11.8,0.5742,1.0959,1.909,0.000409,headroom,peak growing broadly in step with annual traffic
COS,2015,2019,21905,5.6,0.2506,-0.2469,-0.985,0.00046,tightening,"growth going into the shoulder hours, not the peak"
COU,2015,2019,6564,3.6,1.2935,0.818,0.632,0.000566,not_assessed,"below the screen floor, peak too small to read a trend"
CPC,2015,2019,1140,1.9,0.5079,0.35,0.689,0.001711,not_assessed,"below the screen floor, peak too small to read a trend"
CPD,2018,2019,654,2.0,0.0283,0.0,0.0,0.003049,not_assessed,"below the screen floor, peak too small to read a trend"
CPE,2015,2019,2100,3.1,-0.2981,0.017,-0.057,0.001565,not_assessed,"below the screen floor, peak too small to read a trend"
CPH,2015,2019,243625,61.5,0.0371,-0.0512,-1.38,0.000242,tightening,"growth going into the shoulder hours, not the peak"
CPO,2015,2019,4313,5.3,0.2246,0.4118,1.834,0.001138,not_assessed,"below the screen floor, peak too small to read a trend"
CPR,2015,2019,4634,3.1,-0.0949,-0.2068,2.178,0.000695,not_assessed,"below the screen floor, peak too small to read a trend"
CPT,2015,2018,84703,25.9,0.0838,0.1902,2.269,0.000352,headroom,peak growing broadly in step with annual traffic
CPV,2015,2019,1741,2.1,0.315,0.9739,3.092,0.00162,not_assessed,"below the screen floor, peak too small to read a trend"
CPX,2015,2019,5516,5.8,-0.4759,-0.0361,0.076,0.001049,not_assessed,"below the screen floor, peak too small to read a trend"
CRA,2016,2019,3010,2.2,1.1078,0.0869,0.078,0.000722,not_assessed,"below the screen floor, peak too small to read a trend"
CRD,2015,2019,6406,3.0,0.0058,-0.0431,nan,0.00061,not_assessed,"below the screen floor, peak too small to read a trend"
CRK,2015,2019,35515,12.9,4.9231,2.7844,0.566,0.000327,headroom,peak growing broadly in step with annual traffic
CRL,2015,2019,49471,16.0,0.1257,-0.0663,-0.528,0.000328,tightening,"growth going into the shoulder hours, not the peak"
CRM,2015,2019,730,1.0,0.1027,-0.488,-4.751,0.001405,not_assessed,"below the screen floor, peak too small to read a trend"
CRP,2015,2019,11803,5.2,-0.0736,-0.0393,0.534,0.000518,not_assessed,"below the screen floor, peak too small to read a trend"
CRV,2015,2015,1823,2.5,nan,nan,nan,0.001371,too_short,"one observed year, no trend to read"
CRW,2015,2019,10536,4.0,-0.1554,-0.4012,2.581,0.000518,not_assessed,"below the screen floor, peak too small to read a trend"
CRZ,2016,2019,3860,2.0,0.0182,0.0,nan,0.000548,not_assessed,"below the screen floor, peak too small to read a trend"
CSG,2015,2019,2548,2.2,0.0806,-0.082,-1.018,0.00085,not_assessed,"below the screen floor, peak too small to read a trend"
CSX,2015,2019,193079,37.3,0.299,0.1176,0.393,0.0002,headroom,peak growing broadly in step with annual traffic
CSY,2015,2019,3320,2.1,0.9404,0.3806,0.405,0.000762,not_assessed,"below the screen floor, peak too small to read a trend"
CTA,2015,2019,69492,21.5,0.393,0.1385,0.352,0.000307,headroom,peak growing broadly in step with annual traffic
CTC,2016,2019,809,2.0,-0.0229,0.0833,-3.632,0.002464,not_assessed,"below the screen floor, peak too small to read a trend"
CTD,2017,2019,1180,2.0,-0.056,0.0,-0.0,0.001695,not_assessed,"below the screen floor, peak too small to read a trend"
CTG,2015,2019,42732,12.7,0.382,0.3287,0.86,0.000292,headroom,peak growing broadly in step with annual traffic
CTL,2015,2019,964,2.0,0.2487,0.0,0.0,0.002253,not_assessed,"below the screen floor, peak too small to read a trend"
CTM,2015,2019,2915,4.0,1.1371,0.7959,0.7,0.001618,not_assessed,"below the screen floor, peak too small to read a trend"
CTN,2017,2019,1982,2.0,0.0702,0.0,0.0,0.001009,not_assessed,"below the screen floor, peak too small to read a trend"
CTS,2015,2019,157936,41.4,0.1243,0.316,2.542,0.000269,headroom,peak growing broadly in step with annual traffic
CTU,2015,2019,360982,52.7,0.2868,0.1809,0.631,0.000167,headroom,peak growing broadly in step with annual traffic
CUC,2015,2019,12155,8.1,0.1389,1.0427,7.51,0.000599,not_assessed,"below the screen floor, peak too small to read a trend"
CUE,2015,2019,3643,3.0,-0.341,-0.3935,1.154,0.001037,not_assessed,"below the screen floor, peak too small to read a trend"
CUK,2015,2019,19692,12.0,-0.4138,-0.003,0.007,0.000594,headroom,"traffic broadly flat, nothing to read into the peak"
CUL,2015,2019,19034,7.9,0.2901,-0.0036,-0.012,0.000418,not_assessed,"below the screen floor, peak too small to read a trend"
CUM,2015,2016,1082,2.8,0.1585,0.4222,2.665,0.002307,not_assessed,"below the screen floor, peak too small to read a trend"
CUN,2015,2019,156829,53.6,0.2183,0.171,0.783,0.000344,headroom,peak growing broadly in step with annual traffic
CUR,2015,2019,23383,11.1,-0.1332,0.3146,-2.362,0.000603,headroom,"traffic broadly flat, nothing to read into the peak"
CUU,2015,2019,19996,7.8,0.3697,0.3139,0.849,0.000514,not_assessed,"below the screen floor, peak too small to read a trend"
CUZ,2015,2019,36646,12.8,0.1769,-0.1852,-1.047,0.000362,tightening,"growth going into the shoulder hours, not the peak"
CVG,2015,2019,107437,28.7,0.1198,-0.2989,-2.494,0.000276,tightening,"growth going into the shoulder hours, not the peak"
CVM,2015,2019,1594,2.0,-0.4331,-0.0152,0.035,0.000913,not_assessed,"below the screen floor, peak too small to read a trend"
CVN,2015,2019,2061,2.0,-0.1113,-0.2766,2.486,0.000972,not_assessed,"below the screen floor, peak too small to read a trend"
CVQ,2017,2019,1234,2.0,0.1576,0.798,5.064,0.001636,not_assessed,"below the screen floor, peak too small to read a trend"
CWA,2015,2019,7141,4.3,0.16,-0.0687,-0.429,0.000608,not_assessed,"below the screen floor, peak too small to read a trend"
CWB,2015,2019,58619,15.6,-0.1723,-0.1482,0.86,0.000274,headroom,"traffic broadly flat, nothing to read into the peak"
CWC,2017,2019,822,1.1,-0.3092,0.0826,-0.267,0.001385,not_assessed,"below the screen floor, peak too small to read a trend"
CWJ,2017,2019,3012,3.0,2.8418,0.2,0.07,0.001058,not_assessed,"below the screen floor, peak too small to read a trend"
CWL,2015,2019,13912,5.0,0.1998,0.2597,1.299,0.000621,not_assessed,"below the screen floor, peak too small to read a trend"
CXB,2015,2019,6874,6.0,1.0606,0.2,0.189,0.000921,not_assessed,"below the screen floor, peak too small to read a trend"
CXH,2015,2019,13800,6.0,0.4059,0.0028,0.007,0.000414,not_assessed,"below the screen floor, peak too small to read a trend"
CXJ,2015,2019,2242,2.9,0.2015,0.4444,2.206,0.001209,not_assessed,"below the screen floor, peak too small to read a trend"
CXR,2015,2019,42250,11.4,2.1933,0.5979,0.273,0.000256,tightening,"growth going into the shoulder hours, not the peak"
CYB,2015,2019,4914,2.7,-0.0427,0.4118,-9.651,0.001444,not_assessed,"below the screen floor, peak too small to read a trend"
CYD,2015,2019,2178,2.0,-0.2541,-0.4952,1.949,0.000923,not_assessed,"below the screen floor, peak too small to read a trend"
CYF,2015,2019,2583,3.0,-0.3795,-0.25,0.659,0.001079,not_assessed,"below the screen floor, peak too small to read a trend"
CYI,2017,2019,1242,2.0,-0.0387,-0.0118,0.304,0.00161,not_assessed,"below the screen floor, peak too small to read a trend"
CYO,2016,2019,1274,2.0,-0.3256,0.0,-0.0,0.003707,not_assessed,"below the screen floor, peak too small to read a trend"
CYP,2015,2016,750,2.0,0.1364,0.0143,0.105,0.003303,not_assessed,"below the screen floor, peak too small to read a trend"
CYS,2015,2019,1030,2.0,-0.2659,0.0386,-0.145,0.001966,not_assessed,"below the screen floor, peak too small to read a trend"
CYZ,2017,2019,1012,3.0,0.01,0.5,nan,0.002279,not_assessed,"below the screen floor, peak too small to read a trend"
CZH,2015,2019,5248,4.0,-0.2811,0.0004,-0.001,0.00074,not_assessed,"below the screen floor, peak too small to read a trend"
CZL,2015,2018,10895,6.3,0.1455,0.4819,3.311,0.000549,not_assessed,"below the screen floor, peak too small to read a trend"
CZM,2015,2019,6195,5.0,-0.1882,-0.0658,0.35,0.001362,not_assessed,"below the screen floor, peak too small to read a trend"
CZS,2015,2019,727,1.3,0.1395,0.2686,1.926,0.001742,not_assessed,"below the screen floor, peak too small to read a trend"
CZU,2015,2019,1538,2.0,1.2098,0.0,0.0,0.001442,not_assessed,"below the screen floor, peak too small to read a trend"
CZX,2015,2019,30858,10.6,0.8778,0.6779,0.772,0.000351,headroom,peak growing broadly in step with annual traffic
DAB,2015,2019,6984,3.1,0.1934,-0.0601,-0.31,0.000488,not_assessed,"below the screen floor, peak too small to read a trend"
DAC,2015,2019,81172,19.1,0.3642,0.2527,0.694,0.00026,headroom,peak growing broadly in step with annual traffic
DAD,2015,2019,93543,22.9,0.9996,0.5408,0.541,0.000252,headroom,peak growing broadly in step with annual traffic
DAL,2015,2019,149575,35.5,0.132,0.0633,0.479,0.000234,headroom,peak growing broadly in step with annual traffic
DAM,2016,2019,6313,4.0,0.2009,0.3658,1.821,0.000641,not_assessed,"below the screen floor, peak too small to read a trend"
DAR,2015,2018,63398,20.8,0.2865,0.1054,0.368,0.000314,headroom,peak growing broadly in step with annual traffic
DAT,2015,2019,12158,6.4,1.0883,0.16,0.147,0.000549,not_assessed,"below the screen floor, peak too small to read a trend"
DAU,2016,2017,1124,2.0,-0.0483,-0.3158,6.543,0.002036,not_assessed,"below the screen floor, peak too small to read a trend"
DAV,2015,2019,3454,2.1,-0.2249,-0.2839,1.263,0.000833,not_assessed,"below the screen floor, peak too small to read a trend"
DAX,2015,2019,6330,6.1,0.6755,0.5063,0.749,0.00097,not_assessed,"below the screen floor, peak too small to read a trend"
DAY,2015,2019,33448,11.4,-0.077,-0.1202,1.56,0.00036,headroom,"traffic broadly flat, nothing to read into the peak"
DBC,2018,2019,719,1.9,-0.3428,-0.0714,0.208,0.003243,not_assessed,"below the screen floor, peak too small to read a trend"
DBO,2015,2019,8056,6.0,0.1272,0.2,1.572,0.000786,not_assessed,"below the screen floor, peak too small to read a trend"
DBQ,2015,2019,2098,2.3,0.0335,0.0192,0.572,0.001097,not_assessed,"below the screen floor, peak too small to read a trend"
DBV,2015,2019,21015,14.0,0.7101,0.2727,0.384,0.000804,headroom,peak growing broadly in step with annual traffic
DCA,2015,2019,294653,61.5,-0.0028,-0.0258,nan,0.000238,headroom,"traffic broadly flat, nothing to read into the peak"
DCG,2015,2019,938,1.0,-0.3575,-0.5,1.398,0.001066,not_assessed,"below the screen floor, peak too small to read a trend"
DCM,2015,2018,1530,2.1,0.0494,0.0485,0.982,0.001328,not_assessed,"below the screen floor, peak too small to read a trend"
DCY,2015,2019,2722,6.0,0.1466,0.2887,1.969,0.002217,not_assessed,"below the screen floor, peak too small to read a trend"
DDC,2015,2019,2008,2.0,0.3848,-0.005,-0.013,0.000996,not_assessed,"below the screen floor, peak too small to read a trend"
DDD,2019,2019,3421,2.0,nan,nan,nan,0.000708,too_short,"one observed year, no trend to read"
DDG,2015,2019,2102,2.0,0.1133,-0.003,-0.026,0.001002,not_assessed,"below the screen floor, peak too small to read a trend"
DEB,2015,2019,3948,3.0,2.8782,0.0,0.0,0.000811,not_assessed,"below the screen floor, peak too small to read a trend"
DEC,2015,2019,3860,3.0,0.0277,0.5,18.058,0.000777,not_assessed,"below the screen floor, peak too small to read a trend"
DED,2015,2019,11995,6.0,1.451,0.4624,0.319,0.000542,not_assessed,"below the screen floor, peak too small to read a trend"
DEE,2019,2019,736,2.0,nan,nan,nan,0.002286,too_short,"one observed year, no trend to read"
DEF,2016,2019,1720,1.9,0.1242,0.0735,0.592,0.001091,not_assessed,"below the screen floor, peak too small to read a trend"
DEL,2015,2019,442995,76.2,0.3816,0.2461,0.645,0.000163,headroom,peak growing broadly in step with annual traffic
DEN,2015,2019,613269,147.2,0.1742,-0.0624,-0.358,0.000247,tightening,"growth going into the shoulder hours, not the peak"
DEX,2017,2019,2792,2.0,0.242,-0.5,-2.066,0.000726,not_assessed,"below the screen floor, peak too small to read a trend"
DFW,2015,2019,690664,171.0,0.0431,0.0356,0.826,0.00025,headroom,peak growing broadly in step with annual traffic
DGA,2015,2019,23599,10.2,-0.0239,0.0111,-0.467,0.000434,headroom,"traffic broadly flat, nothing to read into the peak"
DGO,2015,2019,7198,3.1,0.4282,-0.2298,-0.537,0.00065,not_assessed,"below the screen floor, peak too small to read a trend"
DGT,2015,2019,7044,4.1,0.645,0.9235,1.432,0.000684,not_assessed,"below the screen floor, peak too small to read a trend"
DHB,2015,2015,2204,2.0,nan,nan,nan,0.000929,too_short,"one observed year, no trend to read"
DHG,2018,2019,910,2.0,0.0066,0.0202,nan,0.002242,not_assessed,"below the screen floor, peak too small to read a trend"
DHI,2015,2019,2300,3.0,0.5764,0.5033,0.873,0.001331,not_assessed,"below the screen floor, peak too small to read a trend"
DHM,2015,2019,2161,2.0,0.4087,0.0,0.0,0.000967,not_assessed,"below the screen floor, peak too small to read a trend"
DHN,2015,2019,2750,2.2,-0.0022,-0.028,nan,0.00081,not_assessed,"below the screen floor, peak too small to read a trend"
DIB,2015,2019,4742,4.1,0.624,-0.1237,-0.198,0.001212,not_assessed,"below the screen floor, peak too small to read a trend"
DIE,2015,2018,1730,3.0,0.7725,2.3913,3.095,0.001723,not_assessed,"below the screen floor, peak too small to read a trend"
DIG,2015,2019,7029,5.2,0.3111,0.3125,1.004,0.000734,not_assessed,"below the screen floor, peak too small to read a trend"
DIK,2015,2019,1290,2.2,-0.5233,-0.0278,0.053,0.001705,not_assessed,"below the screen floor, peak too small to read a trend"
DIL,2015,2019,2698,3.0,0.0668,0.8047,12.042,0.001103,not_assessed,"below the screen floor, peak too small to read a trend"
DIN,2015,2019,1364,2.1,-0.0145,-0.0069,nan,0.001521,not_assessed,"below the screen floor, peak too small to read a trend"
DIR,2015,2018,5002,4.3,0.0391,1.1502,29.452,0.001054,not_assessed,"below the screen floor, peak too small to read a trend"
DIU,2015,2015,730,2.0,nan,nan,nan,0.00274,too_short,"one observed year, no trend to read"
DIW,2015,2019,657,3.0,-0.55,0.404,-0.735,0.003868,not_assessed,"below the screen floor, peak too small to read a trend"
DIY,2015,2019,10794,5.9,-0.0356,-0.0095,0.267,0.000569,not_assessed,"below the screen floor, peak too small to read a trend"
DJB,2015,2019,14485,4.9,0.1614,0.0578,0.358,0.000458,not_assessed,"below the screen floor, peak too small to read a trend"
DJE,2015,2018,10022,6.0,0.2262,0.5146,2.275,0.000704,not_assessed,"below the screen floor, peak too small to read a trend"
DJH,2017,2019,730,1.0,0.7056,0.0,0.0,0.00137,not_assessed,"below the screen floor, peak too small to read a trend"
DJJ,2015,2019,29959,15.0,0.2737,-0.0417,-0.153,0.000489,tightening,"growth going into the shoulder hours, not the peak"
DKR,2015,2017,19842,7.2,0.1469,0.2447,1.666,0.00038,not_assessed,"below the screen floor, peak too small to read a trend"
DLA,2015,2018,13839,4.9,0.0298,0.2056,6.891,0.000469,not_assessed,"below the screen floor, peak too small to read a trend"
DLC,2015,2019,155371,31.5,0.3841,0.1523,0.396,0.000215,headroom,peak growing broadly in step with annual traffic
DLG,2015,2019,6295,2.1,0.114,-0.2597,-2.279,0.001028,not_assessed,"below the screen floor, peak too small to read a trend"
DLH,2015,2019,6753,3.0,0.2001,0.5141,2.569,0.000587,not_assessed,"below the screen floor, peak too small to read a trend"
DLI,2015,2019,12982,6.2,0.9575,0.2331,0.243,0.000478,not_assessed,"below the screen floor, peak too small to read a trend"
DLM,2015,2019,20343,14.6,0.0569,-0.0856,-1.504,0.00075,tightening,"growth going into the shoulder hours, not the peak"
DLU,2015,2019,18190,9.5,0.5451,0.1332,0.244,0.000527,not_assessed,"below the screen floor, peak too small to read a trend"
DMB,2015,2019,1066,1.0,-0.3167,-0.48,1.516,0.00261,not_assessed,"below the screen floor, peak too small to read a trend"
DME,2015,2019,191642,47.0,-0.1192,0.1237,-1.038,0.000253,headroom,"traffic broadly flat, nothing to read into the peak"
DMK,2015,2019,264354,50.4,0.2526,0.2002,0.793,0.000188,headroom,peak growing broadly in step with annual traffic
DMM,2015,2019,80356,18.0,0.1873,0.0546,0.292,0.00023,tightening,"growth going into the shoulder hours, not the peak"
DMU,2015,2019,1390,3.0,0.3163,0.5,1.581,0.002269,not_assessed,"below the screen floor, peak too small to read a trend"
DNH,2015,2019,7437,5.8,0.4741,0.1564,0.33,0.000788,not_assessed,"below the screen floor, peak too small to read a trend"
DNK,2015,2019,4256,2.5,-0.1522,0.088,-0.578,0.000815,not_assessed,"below the screen floor, peak too small to read a trend"
DNZ,2015,2019,3924,2.0,-0.0036,-0.4364,nan,0.000747,not_assessed,"below the screen floor, peak too small to read a trend"
